CITY_NAME,LATITUDE,LONGITUDE
Dover-Cheswold,39.21833333,-75.59666667
Dowagiac,41.99305556,-86.12805556
Downtown,34.0525,-118.25944444
Doylestown,40.33305556,-75.12222222
Drift River,60.58888889,-152.16194444
Driftwood Bay,53.97277778,-166.85694444
Driggs,43.74277778,-111.09666667
Drummond,46.62083333,-113.205
Drummond Island,46.00944444,-83.74388889
Dry Bay,59.14666667,-138.56361111
Dryden,49.83138889,-92.74361111
DuBois,41.17833333,-78.89861111
Dublin,34.85097222,-81.831805555
Dubuque,42.40194444,-90.70944444
Duchesne,40.19388889,-110.38305556
Duck,36.25361111,-75.78861111
Dugway,40.1975,-112.935
Duluth,46.781944440000004,-92.11847222
Duncan,34.47138889,-97.95972222
Duncan Canal,56.75694444,-133.22166667
Duncan/Quamichan Lake,48.75472222,-123.70972222
Dune Lake,64.42138889,-149.89444444
Dunkirk,42.49388889,-79.27111111
Durango,37.183472225,-107.805694445
Durant,33.93333333,-96.4
Dutch John,40.91777778,-109.39055556
Dyersburg,35.99805556,-89.40666667
Eagle,48.01250000333334,-118.14981481333332
Eagle Creek,68.67666667,-162.64694444
Eagle Harbor,57.41666667,-152.71666667
Eagle Lake,29.60055556,-96.32194444
Eagle Nest,36.42194444,-105.29
Eagle Pass,28.70222222,-100.48055556
Eagle River,45.93222222,-89.26833333
Earlton,47.695,-79.84888889
East Farmingdale,40.72888889,-73.41333333
East Haddam,41.44555556,-72.45555556
East Hampton,40.95944444,-72.25166667
East Hartford,41.75333333,-72.62833333
East Tawas,44.31277778,-83.42222222
Eastland,32.415,-98.80972222
Eastman,32.21638889,-83.12861111
Easton,38.80416667,-76.06888889
Eastsound,48.71055555666667,-122.98240740666667
Eau Claire,44.86583333,-91.48416667
Edenton,36.02777778,-76.56722222
Edgartown,41.35833333,-70.52444444
Edmonton,53.498541665000005,-113.5281944425
Edna Bay,55.93638889,-133.65555556
Edwards,34.91805556,-117.87916667
Eek,60.21361111,-162.04388889
Effingham,39.07055556,-88.53361111
Egegik,58.18555556,-157.37555556
Egmont,49.75277778,-123.93027778
Ehpriam,45.13583333,-87.18805556
Eight Fathom Bight,58.0,-135.73333333
Ekati,64.69888889,-110.61472222
Ekuk,58.81111111,-158.55888889
Ekwok,59.35694444,-157.47111111
El Capitan,56.18416667,-133.31055556
El Centro,32.831666670000004,-115.62527778
El Dorado,33.22083333,-92.81333333
El Monte,34.08611111,-118.03472222
El Paso,31.82833333,-106.37819444499999
Elfin Cove,58.2,-136.31666667
Elim,64.615,-162.27055556
Elizabeth City,36.26055556,-76.17444444
Elizabeth Island,59.15694444,-151.82916667
Elizabethtown,37.68611111,-85.925
Elkhart,41.71944444,-86.00333333
Elkins,38.88944444,-79.85722222
Elko,40.825,-115.79138889
Ellamar,60.89333333,-146.70833333
Ellensburg,47.03305556,-120.53055556
Elliot Lake,46.35166667,-82.56111111
Elmira/Corning,42.15972222,-76.89194444
Ely,43.561805555,-103.33569444
Emerald Bay,33.55833333,-117.71111111
Emmonak,62.78611111,-164.49083333
Emporia,37.50875,-86.83638889
Encino,26.85833333,-98.22166667
Enid,36.357777775,-97.85333333
Enterprise,38.36222222,-101.58222222
Ephrata/Moses Lake,47.30805556,-119.51694444
